,id,matrix_gpa,language_test_scores,reading_test_score,math_test_scores,total_points,matrix_languauge,matrix_math,matrix_reading,status,matrix_languauge_retest,matrix_math_retest,matrix_reading_restest,total_points_retest,updated_at,guardian1_email,guardian2_email,grade,deliver_test_accomodation_approved,test_date_sign_up,current_school,gpa,language_test_scores2,reading_test_score2,math_test_scores2
601,602,,56.0,36.0,33.0,11,9,1,1,In Processing,,,,,2024-11-19 11:35:50,,,9,,April 26 2025 (No-rest option),Capdau S.T.E.A.M. School,,,,
602,603,30.0,98.0,90.0,91.0,112.0,30,26,26,Eligible,,,,30.0,2024-11-14 15:29:23,,,9,,January 18 2025,Audubon Uptown Montessori and French,4.0,,,
603,604,30.0,90.0,87.0,88.0,105.0,26,25,24,Eligible,,,,30.0,2024-11-14 15:43:59,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,4.0,,,
604,605,,36.0,59.0,29.0,12,1,1,10,In Processing,,,,,2024-11-14 17:31:01,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
605,606,,,,,0,,,,In Processing,,,,,2024-11-14 17:54:35,,,9,,,Samuel J. Green Charter School,,,,
606,607,,77.0,92.0,74.0,64,19,18,27,In Processing,,,,,2024-11-14 18:31:33,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,,,,
607,608,,88.0,83.0,73.0,64,25,17,22,In Processing,,,,,2024-11-14 20:01:43,,,10,,December 14 2024,Other,,,,
608,609,,27.0,56.0,35.0,11,1,1,9,In Processing,,,,,2024-11-14 20:36:33,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
609,610,,40.0,64.0,33.0,15,1,1,13,In Processing,,,,,2024-12-02 22:18:01,,,10,,January 18 2025,Other,,,,
610,611,,,,,0,,,,In Processing,,,,,2024-11-15 2:43:46,,,9,,,Fannie C. Williams Charter School,,,,
611,612,,88.0,80.0,55.0,54,25,8,21,In Processing,,,,,2024-11-15 9:14:05,,,10,,March 22 2025 (No-rest option),Other,,,,
612,613,,65.0,92.0,98.0,70,13,30,27,In Processing,,,,,2024-11-15 21:04:17,,,9,,December 14 2024,Edward Hynes Lakeview,,,,
613,614,,41.0,37.0,57.0,11,1,9,1,In Processing,,,,,2024-11-18 17:11:40,,,9,,April 26 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
614,615,,53.0,31.0,51.0,14,7,6,1,In Processing,,,,,2024-11-16 10:05:54,,,9,,March 22 2025 (No-rest option),Renew Dolores T. Aaron Academy,,,,
615,616,,59.0,89.0,80.0,56,10,21,25,In Processing,,,,,2024-11-16 15:44:13,,,9,,December 14 2024,Edward Hynes Lakeview,,,,
616,617,,,,,0,,,,In Processing,,,,,2024-11-16 20:20:16,,,9,,,Edward Hynes Lakeview,,,,
617,618,30.0,97.0,99.0,99.0,119.0,29,30,30,Eligible,,,,30.0,2024-11-17 4:08:51,,,9,,January 18 2025,Audubon Uptown Montessori and French,4.0,,,
618,619,,38.0,77.0,38.0,21,1,1,19,In Processing,,,,,2024-11-17 17:09:17,,,9,,December 14 2024,Edward Hynes Parkview,,,,
619,620,,9.0,33.0,31.0,3,1,1,1,In Processing,,,,,2024-11-17 21:15:47,,,9,,December 14 2024,St. Paul's Episcopal School,,,,
620,621,,,,,0,,,,In Processing,,,,,2024-11-17 21:20:56,,,9,,February 15 2025 (No-rest option),Alice Harte Charter School,,,,
621,622,,53.0,48.0,24.0,13,7,1,5,In Processing,,,,,2024-11-17 22:12:26,,,10,,January 18 2025,Other,,,,
622,623,,62.0,58.0,62.0,34,12,12,10,In Processing,,,,,2024-11-17 23:41:46,,,9,,December 14 2024,Renew Dolores T. Aaron Academy,,,,
